codeCI,codeCH,libelleCI,XLambert93,YLambert93
595009	,	EC	,	Périgueux	,"	524984,449	","	6455146,23"
595009	,	BC	,	Périgueux	,"	519568,422	","	6457624,014"
611897	,	EC	,	Castelsarrasin	,"	545449,508	","	6316184,648"
611897	,	EP	,	Castelsarrasin	,"	547645,159	","	6318989,113"
673202	,	RF	,	Dax	,"	373472,218	","	6299675,621"
683656	,	00	,	Accolay	,"	753606,765	","	6729013,933"
718007	,	RF	,	Besançon-Viotte	,"	929856,327	","	6687822,834"
485300	,	64	,	Niort	,"	424447,32	","	6578069,472"
485300	,	51	,	Niort	,"	436462,877	","	6581766,374"
586545	,	IC	,	Marmande	,"	474258,332	","	6382759,868"
741074	,	S2	,	Culoz	,"	916418,055	","	6531254,133"
581009	,	RA	,	Bordeaux-St-Jean	,"	418743,928	","	6419532,632"
718320	,	BV	,	St-Vit	,"	912675,019	","	6679712,321"
718320	,	E1	,	St-Vit	,"	913738,464	","	6680234,737"
641365	,	00	,	Magnette	,"	669526,527	","	6596097,701"
611657	,	15	,	St-Jory	,"	570960,064	","	6288842,802"
611657	,	10	,	St-Jory	,"	569694,738	","	6292237,109"
354522	,	PR	,	Poste 25 Roeux	,"	692213,281	","	7023248,299"
471003	,	BR	,	Rennes	,"	356070,476	","	6788839,381"
471003	,	J3	,	Rennes	,"	353094,447	","	6788469,802"
471003	,	13	,	Rennes	,"	354380,832	","	6788610,67"
471003	,	DP	,	Rennes	,"	355061,42	","	6788640,615"
471003	,	PD	,	Rennes	,"	353165,78	","	6788479,679"
471003	,	BT	,	Rennes	,"	348415,385	","	6789485,767"
471003	,	PC	,	Rennes	,"	350304,438	","	6789014,798"
471003	,	GV	,	Rennes	,"	355007,885	","	6788626,096"
471003	,	J4	,	Rennes	,"	349194,531	","	6789553,394"
215772	,	E3	,	Drulingen	,"	1006793,001	","	6871585,92"
171926	,	AN	,	Champagne-Ardenne-TGV	,"	773690,079	","	6901423,135"
775288	,	PA	,	Alès	,"	786505,646	","	6337554,159"
694380	,	BV	,	St-Gilles (Saône-et-Loire)	,"	826395,301	","	6643584,968"
761205	,	FR	,	Portes	,"	847920,198	","	6421171,827"
761205	,	P1	,	Portes	,"	847971,767	","	6421607,016"
784009	,	AC	,	Perpignan	,"	689052,478	","	6176442,495"
611459	,	PR	,	Lavilledieu	,"	556501,629	","	6327917,392"
672212	,	BV	,	Artix	,"	410703,095	","	6261410,163"
295238	,	00	,	Douzies	,"	766423,287	","	7020082,691"
